"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJFINANCE","EQ","20-Oct-2020","       3267.20","       3255.00","       3289.50","       3226.80","       3252.00","       3262.15","       3261.09","    3252493","         10606682065.45","     137008","     296963","          9.13"
"BAJFINANCE","EQ","21-Oct-2020","       3262.15","       3270.00","       3295.00","       3101.35","       3252.00","       3232.85","       3215.44","    7536460","         24233051688.60","     320452","     561760","          7.45"
"BAJFINANCE","EQ","22-Oct-2020","       3232.85","       3160.00","       3345.00","       3150.00","       3307.00","       3314.45","       3287.16","    7085782","         23292076851.20","     270570","    1114228","         15.72"
"BAJFINANCE","EQ","23-Oct-2020","       3314.45","       3331.40","       3356.80","       3303.00","       3314.00","       3316.90","       3334.25","    3204780","         10685542478.75","     128488","     466961","         14.57"
"BAJFINANCE","EQ","26-Oct-2020","       3316.90","       3330.00","       3330.00","       3236.65","       3294.00","       3293.90","       3275.55","    3546292","         11616047667.70","     161930","     664033","         18.72"
"BAJFINANCE","EQ","27-Oct-2020","       3293.90","       3326.00","       3465.00","       3278.00","       3438.25","       3453.25","       3393.17","    6020950","         20430103980.25","     323879","    1393676","         23.15"
"BAJFINANCE","EQ","28-Oct-2020","       3453.25","       3448.95","       3489.90","       3347.90","       3372.00","       3370.80","       3423.75","    4649120","         15917435351.95","     221960","     768413","         16.53"
"BAJFINANCE","EQ","29-Oct-2020","       3370.80","       3367.80","       3432.00","       3333.75","       3375.00","       3380.05","       3380.32","    3780452","         12779132979.00","     156011","     275256","          7.28"
"BAJFINANCE","EQ","30-Oct-2020","       3380.05","       3364.95","       3391.00","       3252.85","       3300.00","       3309.00","       3310.33","    4287635","         14193494372.85","     194697","     545403","         12.72"
"BAJFINANCE","EQ","02-Nov-2020","       3309.00","       3325.55","       3447.40","       3274.65","       3408.40","       3419.80","       3367.13","    4288551","         14440108439.60","     199990","     611914","         14.27"
"BAJFINANCE","EQ","03-Nov-2020","       3419.80","       3430.00","       3520.00","       3415.85","       3483.90","       3490.80","       3472.29","    4446045","         15437977972.80","     186353","     806188","         18.13"
"BAJFINANCE","EQ","04-Nov-2020","       3490.80","       3469.00","       3569.95","       3462.00","       3561.00","       3561.45","       3518.25","    4371143","         15378789655.25","     193745","     820163","         18.76"
"BAJFINANCE","EQ","05-Nov-2020","       3561.45","       3610.00","       3750.00","       3587.65","       3722.00","       3736.90","       3682.40","    6332141","         23317466618.70","     260666","    1364003","         21.54"
"BAJFINANCE","EQ","06-Nov-2020","       3736.90","       3734.10","       3827.30","       3704.10","       3768.60","       3780.75","       3767.63","    5744050","         21641427890.90","     226555","     791018","         13.77"
"BAJFINANCE","EQ","09-Nov-2020","       3780.75","       3810.00","       3878.70","       3786.05","       3874.10","       3865.00","       3848.01","    4149898","         15968842251.75","     189726","     727656","         17.53"
"BAJFINANCE","EQ","10-Nov-2020","       3865.00","       3898.95","       4243.95","       3882.80","       4210.00","       4208.55","       4115.51","   11421448","         47005125628.95","     496419","    1886167","         16.51"
"BAJFINANCE","EQ","11-Nov-2020","       4208.55","       4211.00","       4429.55","       4133.95","       4275.60","       4268.80","       4274.61","   13896654","         59402791247.55","     552063","    2291138","         16.49"
"BAJFINANCE","EQ","12-Nov-2020","       4268.80","       4260.00","       4325.00","       4200.05","       4303.00","       4298.30","       4273.11","    5590038","         23886865682.90","     250739","     630740","         11.28"
"BAJFINANCE","EQ","13-Nov-2020","       4298.30","       4260.00","       4410.00","       4250.00","       4372.90","       4376.05","       4357.21","    6088459","         26528682017.15","     246390","     838040","         13.76"
